mode,graph_id,instance_id,repeat,seed,runtime_s,obj,global_prob,prob_min,beta,pct_uncovered,n_scratch_builds,n_exact_hits,n_memory_hits,n_repaired,n_rejected,n_candidates_eval,memory_hit_rate
intelligent_memory,1,0,0,42,3.9897255897521973,27.59068709609554,28.38450152908523,0.09671637683346401,616.0,13.114754098360656,43,1,138,31,0,796,0.7981220657276995
baseline,1,0,0,42,13.585069179534912,28.050548362793197,28.78121846588598,0.2779736031100921,567.0,9.836065573770492,1011,0,0,0,0,0,0.0
exact_cache,1,0,0,42,13.685443639755249,28.050548362793197,28.78121846588598,0.2779736031100921,567.0,9.836065573770492,923,88,0,0,0,0,0.08704253214638971
