node_id,date,street_count,edge_list,latitude,longitude,temperature_max,temperature_min,temperature_mean,dewpoint_mean,dewpoint_max,dewpoint_min,humidity_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,shortwave_radiation_sum,cloud_cover_mean,wet_flag,severity,delta_local,eligible,pavement_temp,icy_base,icy_label,ice_thickness,area_id,icy_label_lag1,icy_label_lag2,icy_label_lag3,temperature_max_lag1,temperature_max_lag2,temperature_max_lag3,temperature_min_lag1,temperature_min_lag2,temperature_min_lag3,temperature_mean_lag1,temperature_mean_lag2,temperature_mean_lag3,dewpoint_mean_lag1,dewpoint_mean_lag2,dewpoint_mean_lag3,dewpoint_max_lag1,dewpoint_max_lag2,dewpoint_max_lag3,dewpoint_min_lag1,dewpoint_min_lag2,dewpoint_min_lag3,humidity_mean_lag1,humidity_mean_lag2,humidity_mean_lag3,precipitation_sum_lag1,precipitation_sum_lag2,precipitation_sum_lag3,rain_sum_lag1,rain_sum_lag2,rain_sum_lag3,snowfall_sum_lag1,snowfall_sum_lag2,snowfall_sum_lag3,wind_speed_10m_max_lag1,wind_speed_10m_max_lag2,wind_speed_10m_max_lag3,shortwave_radiation_sum_lag1,shortwave_radiation_sum_lag2,shortwave_radiation_sum_lag3,cloud_cover_mean_lag1,cloud_cover_mean_lag2,cloud_cover_mean_lag3,icy_base_lag1,icy_base_lag2,icy_base_lag3,severity_lag1,severity_lag2,severity_lag3,pavement_temp_lag1,pavement_temp_lag2,pavement_temp_lag3,ice_thickness_lag1,ice_thickness_lag2,ice_thickness_lag3,temperature_max_roll3_mean,temperature_min_roll3_mean,temperature_mean_roll3_mean,dewpoint_mean_roll3_mean,dewpoint_max_roll3_mean,dewpoint_min_roll3_mean,humidity_mean_roll3_mean,precipitation_sum_roll3_mean,rain_sum_roll3_mean,snowfall_sum_roll3_mean,wind_speed_10m_max_roll3_mean,shortwave_radiation_sum_roll3_mean,cloud_cover_mean_roll3_mean,icy_base_roll3_mean,severity_roll3_mean,pavement_temp_roll3_mean,ice_thickness_roll3_mean,consecutive_icy_days,freeze_thaw,split
18,2026-01-22 04:00:00+00:00,3,"[17, 19, 21]",38.942576916351385,-77.00754971024347,13.203,3.503,7.257166,-8.454953,-2.4504697,-10.8819685,32.375,0.0,0.0,0.0,18.448023,10.58,60.083332,0,0,0.3,0,1.203000020980835,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.987,5.053,18.536999,5.687,-9.646999,11.637,9.737,-2.24075,14.011998,5.0891366,-13.927552,7.0847316,8.61833,-10.345068,10.566154,-1.0175041,-18.052944,-0.95818156,74.041664,43.5,64.291664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.304229,22.104116,12.783802,6.63,11.43,7.32,73.333336,16.958334,73.208336,0.0,0.0,0.0,0.0,1.0,0.0,3.2561533655728105,-11.94699935913086,9.319959705185834,0.0,0.0,0.0,12.192333,2.5590003333333313,7.169416000000005,-0.5845612666666705,2.9464719999999995,-6.676209886666672,60.61110933333333,0.0,0.0,0.0,15.397382333333335,8.460000000000003,54.500002,0.0,0.3333333333333333,0.20970457054259484,0.0,0.0,0,val
19,2026-01-22 04:00:00+00:00,5,"[24, 18, 99, 14]",38.93182915433853,-77.00665553102236,13.398,3.698,7.452167,-8.283619,-2.2750318,-10.710946,32.375,0.0,0.0,0.0,18.448023,10.58,60.083332,0,0,0.6,0,1.0979999542236327,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,13.013,5.248,18.563,5.713,-9.452,11.662999,9.763,-2.04575,14.037998,5.1141925,-13.750782,7.109354,8.643726,-10.166178,10.591069,-0.9933363,-17.876762,-0.934736,74.041664,43.5,64.291664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.304229,22.104116,12.783802,6.63,11.43,7.32,73.333336,16.958334,73.208336,0.0,0.0,0.0,0.0,1.0,0.0,2.94770359968664,-12.05199966430664,8.916170225705166,0.0,0.0,0.0,12.274666666666667,2.641332999999998,7.251749333333341,-0.5090785000000047,3.022872333333332,-6.601611433333336,60.61110933333333,0.0,0.0,0.0,15.397382333333335,8.460000000000003,54.500002,0.0,0.3333333333333333,-0.06270861297161205,0.0,0.0,0,val
20,2026-01-22 04:00:00+00:00,5,"[27, 99, 15]",38.922966977790544,-76.9882675210016,13.018,3.368,7.3304996,-7.828298,-2.2281728,-10.830008,33.958332,0.0,0.0,0.0,19.914217,10.7,55.458332,0,0,0.6,0,0.7680000305175781,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,13.1,5.568,18.8,5.85,-9.782001,11.55,9.889583,-2.27575,14.064584,5.2596483,-13.421913,7.1944795,9.016309,-9.687609,10.587838,-0.6097976,-17.615475,-0.33836988,74.041664,45.75,64.458336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.97262,21.915693,12.096214,6.14,11.54,6.98,73.583336,15.166667,72.75,0.0,0.0,0.0,0.0,1.0,0.0,3.690849829650853,-12.382000541687011,9.22275021256416,0.0,0.0,0.0,12.489333333333333,2.5393329999999987,7.226139000000008,-0.3225950666666713,3.3055126666666648,-6.187880826666668,61.416666666666664,0.0,0.0,0.0,14.994842333333333,8.220000000000002,53.83333433333334,0.0,0.3333333333333333,0.17719983350933374,0.0,0.0,0,val
21,2026-01-22 04:00:00+00:00,6,"[1, 4, 108, 113, 18, 26]",38.95569903384983,-77.0083559883826,13.3654995,3.6655,7.4196677,-8.312173,-2.3042705,-10.739449,32.375,0.0,0.0,0.0,18.448023,10.58,60.083332,0,0,0.6,0,1.0654999256134032,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,13.0065,5.2155004,18.5565,5.7064996,-9.4845,11.6565,9.7565,-2.0782497,14.031499,5.1079288,-13.780243,7.1031985,8.637379,-10.195992,10.58484,-0.9993776,-17.906124,-0.94059676,74.041664,43.5,64.291664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.304229,22.104116,12.783802,6.63,11.43,7.32,73.333336,16.958334,73.208336,0.0,0.0,0.0,0.0,1.0,0.0,3.177316987392105,-12.084499931335449,9.04997972335042,0.0,0.0,0.0,12.259500133333333,2.6261665333333317,7.236583100000008,-0.523038566666672,3.0087423333333305,-6.615366120000004,60.61110933333333,0.0,0.0,0.0,15.397382333333335,8.460000000000003,54.500001999999995,0.0,0.3333333333333333,0.04759892646902427,0.0,0.0,0,val
25,2026-01-22 04:00:00+00:00,3,"[24, 27, 29]",38.9331124,-76.9796064,13.4435,3.7435,7.6164165,-7.8294163,-1.8542601,-9.88028,33.166668,0.0,0.0,0.0,18.692286,10.58,59.875,0,0,0.3,0,1.443499994277954,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.6305,5.6935,18.4305,5.5305004,-9.356501,11.4305,9.570085,-2.0127504,13.89925,4.9074025,-12.932557,7.088009,8.563139,-9.340643,10.405244,-0.44633698,-16.123833,-1.1664908,73.625,46.875,64.75,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,10.691453,22.206486,13.004921,6.97,11.48,7.43,65.291664,15.166667,67.875,0.0,0.0,0.0,0.0,1.0,1.0,3.0984313395598173,-11.656500625610352,9.10476735613554,0.0,0.0,0.0,12.2515,2.5348331333333305,7.152194866666673,-0.31238183333333797,3.2092466666666652,-5.912220260000005,61.75,0.03333333333333807,0.03333333333333333,0.0,15.300953333333334,8.626666666666667,49.444443666666665,0.0,0.6666666666666666,0.18223269002833367,0.0,0.0,0,val
26,2026-01-22 04:00:00+00:00,1,[21],38.94312838722349,-77.01925563774289,13.3654995,3.6655,7.4196677,-8.312173,-2.3042705,-10.739449,32.375,0.0,0.0,0.0,18.448023,10.58,60.083332,0,0,0.0,0,1.665499925613403,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.25,5.2155004,18.8,5.45,-9.4845,11.45,9.70625,-2.0782497,14.004166,4.640256,-13.780243,7.401837,8.533345,-10.195992,11.11401,-0.09625659,-17.906124,0.59258145,71.291664,43.5,65.458336,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,10.446206,22.104116,12.783802,7.24,11.43,7.57,60.75,16.958334,65.041664,0.0,0.0,0.0,0.0,1.0,1.0,2.922409557147632,-11.48449993133545,9.021524349881044,0.0,0.0,0.0,12.088500133333335,2.4718333333333304,7.210722100000008,-0.5793833333333387,3.1504543333333324,-5.80326638,60.083333333333336,0.03333333333333807,0.03333333333333333,0.0,15.111374666666668,8.74666666666667,47.58333266666667,0.0,0.6666666666666666,0.15314465856440793,0.0,0.0,0,val
27,2026-01-22 04:00:00+00:00,4,"[25, 20, 28]",38.92861852611973,-76.97711782677011,13.294,3.594,7.466917,-7.9611087,-1.9891311,-10.012285,33.166668,0.0,0.0,0.0,18.692286,10.58,59.875,0,0,0.6,0,0.9940001010894776,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.0255,5.5439997,18.9255,5.0255,-9.5060005,11.3255,9.33175,-2.16225,13.838001,4.554524,-13.069032,7.1459765,8.460571,-9.480837,10.882638,-0.5017087,-16.260614,0.7480995,72.666664,46.875,65.083336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.159999,22.206486,13.138765,7.87,11.48,8.41,60.75,15.166667,68.333336,0.0,0.0,0.0,0.0,1.0,0.0,2.763894394971393,-12.106000518798828,9.051714231533506,0.0,0.0,0.0,12.164999900000003,2.2816664999999974,7.002500333333342,-0.45617716666667335,3.287457333333333,-5.338074400000006,61.541666666666664,0.0,0.0,0.0,15.501750000000001,9.253333333333337,48.08333433333335,0.0,0.3333333333333333,-0.09679729743131205,0.0,0.0,0,val
28,2026-01-22 04:00:00+00:00,4,"[34, 27, 29, 106]",38.9312825500047,-76.97156719998642,13.333,3.633,7.505916,-7.926754,-1.9539462,-9.977849,33.166668,0.0,0.0,0.0,18.692286,10.58,59.875,0,0,0.6,0,1.0329998970031735,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.2695,5.5829997,18.8195,5.4694996,-9.467,11.4695,9.725751,-2.12325,14.023666,4.658982,-13.033429,7.4203496,8.552394,-9.444264,11.132594,-0.07763293,-16.224934,0.61039644,71.291664,46.875,65.458336,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,10.446206,22.206486,12.783802,7.24,11.48,7.57,60.75,15.166667,65.041664,0.0,0.0,0.0,0.0,1.0,1.0,3.292113584976855,-12.067000007629394,9.047884995086916,0.0,0.0,0.0,12.223999900000003,2.490666533333331,7.208722333333342,-0.31803246666667384,3.4135746666666655,-5.2307234966666725,61.208333333333336,0.03333333333333807,0.03333333333333333,0.0,15.145497999999998,8.76333333333334,46.986110333333336,0.0,0.6666666666666666,0.09099952414478985,0.0,0.0,0,val
29,2026-01-22 04:00:00+00:00,3,"[112, 25, 28]",38.9394669,-76.9800973,13.398,3.698,7.5709157,-7.869497,-1.8953072,-9.920455,33.166668,0.0,0.0,0.0,18.692286,10.58,59.875,0,0,0.3,0,1.3979999542236328,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,13.035001,5.648,18.734999,5.785,-9.402,11.485001,9.824584,-2.0582502,13.999583,5.1969976,-12.974092,7.132893,8.952547,-9.38331,10.523732,-0.6703437,-16.165462,-0.39730266,74.041664,46.875,64.458336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.97262,22.206486,12.096214,6.14,11.48,6.98,73.583336,15.166667,72.75,0.0,0.0,0.0,0.0,1.0,0.0,3.5025406970000965,-11.702000427246094,9.17014194565444,0.0,0.0,0.0,12.472666666666669,2.622666999999998,7.25530560000001,-0.21473380000000594,3.364323,-5.744369453333339,61.791666666666664,0.0,0.0,0.0,15.091773333333334,8.200000000000008,53.83333433333333,0.0,0.3333333333333333,0.3235607384694769,0.0,0.0,0,val
31,2026-01-22 04:00:00+00:00,3,"[99, 31]",38.91410830002923,-77.01681359996311,13.528,3.278,7.482167,-8.181048,-2.2030604,-10.203028,32.708332,0.0,0.0,0.0,18.59845,10.66,55.333332,0,0,0.3,0,0.9780001163482666,0,0,0.0,"College Park, Maryland, US",0.0,0.0,0.0,12.8435,5.6280003,18.8935,5.5935,-9.372,11.4935,9.76225,-2.022,13.956,4.95318,-13.811577,7.0671134,8.706205,-10.488741,10.548721,-1.1508968,-19.010305,-0.20954563,73.166664,43.0,64.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.988594,22.007162,12.4811535,6.7,11.52,7.89,71.5,16.666666,66.416664,0.0,0.0,0.0,0.0,1.0,0.0,3.1464896386182595,-11.671999740600588,9.045972589352148,0.0,0.0,0.0,12.455000100000001,2.571666666666663,7.232083333333343,-0.5970945333333386,2.9220616666666666,-6.790249143333338,60.180554666666666,0.0,0.0,0.0,15.492303166666666,8.703333333333338,51.52777666666666,0.0,0.3333333333333333,0.17348749578993625,0.0,0.0,0,val
