node_id,date,street_count,edge_list,latitude,longitude,temperature_max,temperature_min,precipitation_sum,snowfall_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
44,2026-01-28 05:00:00+00:00,4,"[0, 36, 54, 71]",39.963581347649395,-75.1907809805384,-5.652,-11.952,0.0,0.0,0.0,15.986595,12.33
44,2026-01-29 05:00:00+00:00,4,"[0, 36, 54, 71]",39.963581347649395,-75.1907809805384,-5.702,-14.552,0.0,0.0,0.0,22.319998,12.77
42,2026-01-21 05:00:00+00:00,3,"[0, 36, 37]",39.971512200000014,-75.1932518,3.917,-12.033,0.0,0.0,0.0,24.1388,9.88
42,2026-01-22 05:00:00+00:00,3,"[0, 36, 37]",39.971512200000014,-75.1932518,10.316999,2.017,0.0,0.0,0.0,25.20257,10.48
42,2026-01-23 05:00:00+00:00,3,"[0, 36, 37]",39.971512200000014,-75.1932518,4.217,-6.8329997,0.0,0.0,0.0,34.145008,9.46
42,2026-01-24 05:00:00+00:00,3,"[0, 36, 37]",39.971512200000014,-75.1932518,-7.3329997,-12.383,0.0,0.0,0.0,25.501621,10.26
42,2026-01-25 05:00:00+00:00,3,"[0, 36, 37]",39.971512200000014,-75.1932518,-6.3329997,-10.683001,39.2,18.130001,13.3,22.545315,2.27
42,2026-01-26 05:00:00+00:00,3,"[0, 36, 37]",39.971512200000014,-75.1932518,-3.383,-8.183001,0.0,0.0,0.0,24.627787,10.08
42,2026-01-27 05:00:00+00:00,3,"[0, 36, 37]",39.971512200000014,-75.1932518,-5.0829997,-10.883,0.0,0.0,0.0,20.316889,11.09
42,2026-01-28 05:00:00+00:00,3,"[0, 36, 37]",39.971512200000014,-75.1932518,-5.483,-11.783,0.0,0.0,0.0,15.986595,12.33
42,2026-01-29 05:00:00+00:00,3,"[0, 36, 37]",39.971512200000014,-75.1932518,-5.533,-14.383,0.0,0.0,0.0,22.319998,12.77
32,2026-01-21 05:00:00+00:00,7,"[0, 33, 43, 82, 84, 63]",39.94727213393877,-75.18779327654656,4.0325,-11.6675,0.0,0.0,0.0,23.795427,10.13
32,2026-01-22 05:00:00+00:00,7,"[0, 33, 43, 82, 84, 63]",39.94727213393877,-75.18779327654656,10.4825,2.0825,0.0,0.0,0.0,25.537172,10.48
32,2026-01-23 05:00:00+00:00,7,"[0, 33, 43, 82, 84, 63]",39.94727213393877,-75.18779327654656,4.5325,-6.5675,0.0,0.0,0.0,36.721764,10.27
32,2026-01-24 05:00:00+00:00,7,"[0, 33, 43, 82, 84, 63]",39.94727213393877,-75.18779327654656,-7.2175,-12.3175,0.0,0.0,0.0,27.059933,10.42
32,2026-01-25 05:00:00+00:00,7,"[0, 33, 43, 82, 84, 63]",39.94727213393877,-75.18779327654656,-6.3175,-10.6675,39.399998,18.13,13.499999,22.828087,2.27
32,2026-01-26 05:00:00+00:00,7,"[0, 33, 43, 82, 84, 63]",39.94727213393877,-75.18779327654656,-3.3675,-8.7175,0.0,0.0,0.0,24.379204,10.0
32,2026-01-27 05:00:00+00:00,7,"[0, 33, 43, 82, 84, 63]",39.94727213393877,-75.18779327654656,-5.0675,-11.1675,0.0,0.0,0.0,20.316889,11.68
32,2026-01-28 05:00:00+00:00,7,"[0, 33, 43, 82, 84, 63]",39.94727213393877,-75.18779327654656,-5.5175004,-11.8175,0.0,0.0,0.0,15.876775,12.45
32,2026-01-29 05:00:00+00:00,7,"[0, 33, 43, 82, 84, 63]",39.94727213393877,-75.18779327654656,-5.4175,-14.6675,0.0,0.0,0.0,21.611998,12.86
89,2026-01-21 05:00:00+00:00,7,"[0, 33, 71, 54, 58]",39.95467288304556,-75.1908133067642,3.9675,-11.7325,0.0,0.0,0.0,23.795427,10.13
89,2026-01-22 05:00:00+00:00,7,"[0, 33, 71, 54, 58]",39.95467288304556,-75.1908133067642,10.4175,2.0175,0.0,0.0,0.0,25.537172,10.48
89,2026-01-23 05:00:00+00:00,7,"[0, 33, 71, 54, 58]",39.95467288304556,-75.1908133067642,4.4675,-6.6324997,0.0,0.0,0.0,36.721764,10.27
89,2026-01-24 05:00:00+00:00,7,"[0, 33, 71, 54, 58]",39.95467288304556,-75.1908133067642,-7.2825,-12.382501,0.0,0.0,0.0,27.059933,10.42
89,2026-01-25 05:00:00+00:00,7,"[0, 33, 71, 54, 58]",39.95467288304556,-75.1908133067642,-6.3824997,-10.7325,39.399998,18.13,13.499999,22.828087,2.27
89,2026-01-26 05:00:00+00:00,7,"[0, 33, 71, 54, 58]",39.95467288304556,-75.1908133067642,-3.4325001,-8.7825,0.0,0.0,0.0,24.379204,10.0
89,2026-01-27 05:00:00+00:00,7,"[0, 33, 71, 54, 58]",39.95467288304556,-75.1908133067642,-5.1324997,-11.2325,0.0,0.0,0.0,20.316889,11.68
89,2026-01-28 05:00:00+00:00,7,"[0, 33, 71, 54, 58]",39.95467288304556,-75.1908133067642,-5.5825,-11.882501,0.0,0.0,0.0,15.876775,12.45
89,2026-01-29 05:00:00+00:00,7,"[0, 33, 71, 54, 58]",39.95467288304556,-75.1908133067642,-5.4824996,-14.7325,0.0,0.0,0.0,21.611998,12.86
2,2026-01-21 05:00:00+00:00,3,"[0, 1, 104]",39.9601411500579,-75.13721494998606,3.0435,-12.8065,0.0,0.0,0.0,17.114204,10.27
2,2026-01-22 05:00:00+00:00,3,"[0, 1, 104]",39.9601411500579,-75.13721494998606,10.3435,2.3435,0.0,0.0,0.0,24.014996,10.35
2,2026-01-23 05:00:00+00:00,3,"[0, 1, 104]",39.9601411500579,-75.13721494998606,3.8435,-6.7565,0.0,0.0,0.0,34.882866,9.86
2,2026-01-24 05:00:00+00:00,3,"[0, 1, 104]",39.9601411500579,-75.13721494998606,-7.4065,-12.3065,0.0,0.0,0.0,25.772078,10.47
2,2026-01-25 05:00:00+00:00,3,"[0, 1, 104]",39.9601411500579,-75.13721494998606,-6.2565,-10.7065,40.2,18.199999,14.200001,21.9718,2.29
2,2026-01-26 05:00:00+00:00,3,"[0, 1, 104]",39.9601411500579,-75.13721494998606,-3.3565,-8.7065,0.0,0.0,0.0,24.014996,9.94
2,2026-01-27 05:00:00+00:00,3,"[0, 1, 104]",39.9601411500579,-75.13721494998606,-5.0565,-10.9065,0.0,0.0,0.0,20.3774,11.71
2,2026-01-28 05:00:00+00:00,3,"[0, 1, 104]",39.9601411500579,-75.13721494998606,-5.3564997,-12.4065,0.0,0.0,0.0,15.941944,12.4
2,2026-01-29 05:00:00+00:00,3,"[0, 1, 104]",39.9601411500579,-75.13721494998606,-5.5065,-15.106501,0.0,0.0,0.0,21.24,12.71
56,2026-01-21 05:00:00+00:00,2,"[0, 18]",39.94992115000037,-75.14374500000372,3.587,-12.912999,0.0,0.0,0.0,23.587555,9.63
56,2026-01-22 05:00:00+00:00,2,"[0, 18]",39.94992115000037,-75.14374500000372,10.287001,2.087,0.0,0.0,0.0,24.40046,10.49
56,2026-01-23 05:00:00+00:00,2,"[0, 18]",39.94992115000037,-75.14374500000372,3.787,-6.813,0.0,0.0,0.0,35.406506,9.77
56,2026-01-24 05:00:00+00:00,2,"[0, 18]",39.94992115000037,-75.14374500000372,-7.413,-12.363,0.0,0.0,0.0,26.044699,10.36
56,2026-01-25 05:00:00+00:00,2,"[0, 18]",39.94992115000037,-75.14374500000372,-6.363,-10.712999,40.199997,18.13,14.299998,22.33161,2.32
56,2026-01-26 05:00:00+00:00,2,"[0, 18]",39.94992115000037,-75.14374500000372,-3.413,-8.563,0.0,0.0,0.0,24.448214,10.16
56,2026-01-27 05:00:00+00:00,2,"[0, 18]",39.94992115000037,-75.14374500000372,-5.163,-10.763,0.0,0.0,0.0,20.497883,11.54
56,2026-01-28 05:00:00+00:00,2,"[0, 18]",39.94992115000037,-75.14374500000372,-5.513,-12.263,0.0,0.0,0.0,15.986595,12.42
56,2026-01-29 05:00:00+00:00,2,"[0, 18]",39.94992115000037,-75.14374500000372,-5.513,-14.712999,0.0,0.0,0.0,22.319998,12.72
57,2026-01-21 05:00:00+00:00,3,[0],39.95410229946569,-75.1730986753784,3.626,-12.874,0.0,0.0,0.0,23.587555,9.63
57,2026-01-22 05:00:00+00:00,3,[0],39.95410229946569,-75.1730986753784,10.326,2.126,0.0,0.0,0.0,24.40046,10.49
57,2026-01-23 05:00:00+00:00,3,[0],39.95410229946569,-75.1730986753784,3.826,-6.774,0.0,0.0,0.0,35.406506,9.77
57,2026-01-24 05:00:00+00:00,3,[0],39.95410229946569,-75.1730986753784,-7.374,-12.324,0.0,0.0,0.0,26.044699,10.36
57,2026-01-25 05:00:00+00:00,3,[0],39.95410229946569,-75.1730986753784,-6.324,-10.674,40.199997,18.13,14.299998,22.33161,2.32
57,2026-01-26 05:00:00+00:00,3,[0],39.95410229946569,-75.1730986753784,-3.374,-8.524,0.0,0.0,0.0,24.448214,10.16
57,2026-01-27 05:00:00+00:00,3,[0],39.95410229946569,-75.1730986753784,-5.124,-10.724,0.0,0.0,0.0,20.497883,11.54
57,2026-01-28 05:00:00+00:00,3,[0],39.95410229946569,-75.1730986753784,-5.474,-12.224,0.0,0.0,0.0,15.986595,12.42
57,2026-01-29 05:00:00+00:00,3,[0],39.95410229946569,-75.1730986753784,-5.474,-14.674,0.0,0.0,0.0,22.319998,12.72
84,2026-01-21 05:00:00+00:00,3,"[0, 32, 114]",39.94416343572732,-75.16539008416063,3.5609999,-12.039,0.0,0.0,0.0,23.587555,10.76
84,2026-01-22 05:00:00+00:00,3,"[0, 32, 114]",39.94416343572732,-75.16539008416063,10.361,1.911,0.0,0.0,0.0,24.86868,10.26
84,2026-01-23 05:00:00+00:00,3,"[0, 32, 114]",39.94416343572732,-75.16539008416063,4.061,-6.639,0.0,0.0,0.0,37.008278,10.01
84,2026-01-24 05:00:00+00:00,3,"[0, 32, 114]",39.94416343572732,-75.16539008416063,-7.239,-12.339,0.0,0.0,0.0,27.841293,10.38
84,2026-01-25 05:00:00+00:00,3,"[0, 32, 114]",39.94416343572732,-75.16539008416063,-6.289,-10.688999,40.0,18.059998,14.200001,22.884789,2.34
84,2026-01-26 05:00:00+00:00,3,"[0, 32, 114]",39.94416343572732,-75.16539008416063,-3.389,-8.639,0.0,0.0,0.0,24.280659,9.7
84,2026-01-27 05:00:00+00:00,3,"[0, 32, 114]",39.94416343572732,-75.16539008416063,-5.089,-11.639,0.0,0.0,0.0,20.68356,11.83
84,2026-01-28 05:00:00+00:00,3,"[0, 32, 114]",39.94416343572732,-75.16539008416063,-5.539,-12.039,0.0,0.0,0.0,15.905319,12.35
84,2026-01-29 05:00:00+00:00,3,"[0, 32, 114]",39.94416343572732,-75.16539008416063,-5.489,-15.339,0.0,0.0,0.0,21.96,12.81
36,2026-01-21 05:00:00+00:00,11,"[0, 37, 38, 73, 42, 74, 44, 21, 93]",39.9746875249551,-75.20218696350439,3.7935,-12.1565,0.0,0.0,0.0,24.1388,9.88
36,2026-01-22 05:00:00+00:00,11,"[0, 37, 38, 73, 42, 74, 44, 21, 93]",39.9746875249551,-75.20218696350439,10.1935,1.8935,0.0,0.0,0.0,25.20257,10.48
36,2026-01-23 05:00:00+00:00,11,"[0, 37, 38, 73, 42, 74, 44, 21, 93]",39.9746875249551,-75.20218696350439,4.0935,-6.9564996,0.0,0.0,0.0,34.145008,9.46
36,2026-01-24 05:00:00+00:00,11,"[0, 37, 38, 73, 42, 74, 44, 21, 93]",39.9746875249551,-75.20218696350439,-7.4564996,-12.5065,0.0,0.0,0.0,25.501621,10.26
36,2026-01-25 05:00:00+00:00,11,"[0, 37, 38, 73, 42, 74, 44, 21, 93]",39.9746875249551,-75.20218696350439,-6.4564996,-10.8065,39.2,18.130001,13.3,22.545315,2.27
