node_id,date,latitude,longitude,temperature_max,temperature_min,temperature_mean,precipitation_sum,snowfall_sum,relative_humidity_max,relative_humidity_min,dewpoint_max,dewpoint_min
50309649,2025-01-06 05:00:00+00:00,38.9851425,-76.9425033,-0.34550002,-3.5955,-2.7746665,20.5,10.080001,95,55,-3.2290967,-8.296635
50309649,2025-01-07 05:00:00+00:00,38.9851425,-76.9425033,1.4545,-5.1454997,-2.108,0,0,67,49,-7.5942864,-12.25324
50309649,2025-01-08 05:00:00+00:00,38.9851425,-76.9425033,-0.5455,-5.0955,-2.8538334,0,0,59,45,-8.945943,-15.201405
50312054,2025-01-01 05:00:00+00:00,38.9908821,-76.9315178,9.352,4.802,7.1936665,0,0,99,42,7.1550446,-4.754335
50312054,2025-01-02 05:00:00+00:00,38.9908821,-76.9315178,4.652,0.752,2.6290834,0,0,58,41,-6.4376903,-10.115901
50312054,2025-01-03 05:00:00+00:00,38.9908821,-76.9315178,5.402,-1.2479999,0.6936667,2.6,0.77,91,53,-0.40116894,-8.629442
50312054,2025-01-04 05:00:00+00:00,38.9908821,-76.9315178,-0.448,-4.348,-1.698,0,0,58,42,-8.601981,-13.473205
50312054,2025-01-05 05:00:00+00:00,38.9908821,-76.9315178,1.002,-7.348,-2.4375834,0,0,62,33,-9.729377,-14.381394
50312054,2025-01-06 05:00:00+00:00,38.9908821,-76.9315178,-0.24800001,-3.498,-2.6771667,20.5,10.080001,95,55,-3.1322708,-8.20542
50312054,2025-01-07 05:00:00+00:00,38.9908821,-76.9315178,1.552,-5.048,-2.0104997,0,0,67,49,-7.5015335,-12.161557
50312054,2025-01-08 05:00:00+00:00,38.9908821,-76.9315178,-0.448,-4.998,-2.7563334,0,0,59,45,-8.853986,-15.112011
50328048,2025-01-01 05:00:00+00:00,38.9856581,-76.9370734,9.3325,4.7825,7.174167,0,0,99,42,7.1355677,-4.772361
50328048,2025-01-02 05:00:00+00:00,38.9856581,-76.9370734,4.6324997,0.73249996,2.6095831,0,0,58,41,-6.4560347,-10.133556
50328048,2025-01-03 05:00:00+00:00,38.9856581,-76.9370734,5.3824997,-1.2674999,0.6741665,2.6,0.77,91,53,-0.42046106,-8.647725
50328048,2025-01-04 05:00:00+00:00,38.9856581,-76.9370734,-0.4675,-4.3675003,-1.7175001,0,0,58,42,-8.620337,-13.491243
50328048,2025-01-05 05:00:00+00:00,38.9856581,-76.9370734,0.98249996,-7.3675003,-2.457084,0,0,62,33,-9.747393,-14.398656
50328048,2025-01-06 05:00:00+00:00,38.9856581,-76.9370734,-0.2675,-3.5175,-2.696667,20.5,10.080001,95,55,-3.1516361,-8.223662
50328048,2025-01-07 05:00:00+00:00,38.9856581,-76.9370734,1.5325,-5.0675,-2.03,0,0,67,49,-7.5201845,-12.179895
50328048,2025-01-08 05:00:00+00:00,38.9856581,-76.9370734,-0.4675,-5.0175004,-2.7758331,0,0,59,45,-8.8723755,-15.1298895
50328057,2025-01-01 05:00:00+00:00,38.9875055,-76.9268457,9.378,4.828,7.219667,0,0,99,42,7.181014,-4.730302
50328057,2025-01-02 05:00:00+00:00,38.9875055,-76.9268457,4.678,0.778,2.6550834,0,0,58,41,-6.4132314,-10.0923605
50328057,2025-01-03 05:00:00+00:00,38.9875055,-76.9268457,5.428,-1.222,0.7196665,2.6,0.77,91,53,-0.37544596,-8.605066
50328057,2025-01-04 05:00:00+00:00,38.9875055,-76.9268457,-0.422,-4.322,-1.6719999,0,0,58,42,-8.577509,-13.449155
50328057,2025-01-05 05:00:00+00:00,38.9875055,-76.9268457,1.028,-7.322,-2.4115832,0,0,62,33,-9.7053585,-14.358382
50328057,2025-01-06 05:00:00+00:00,38.9875055,-76.9268457,-0.222,-3.472,-2.6511667,20.5,10.080001,95,55,-3.106451,-8.181097
50328057,2025-01-07 05:00:00+00:00,38.9875055,-76.9268457,1.578,-5.022,-1.9845003,0,0,67,49,-7.4766655,-12.137109
50328057,2025-01-08 05:00:00+00:00,38.9875055,-76.9268457,-0.422,-4.972,-2.7303333,0,0,59,45,-8.829464,-15.088176
50363007,2025-01-01 05:00:00+00:00,38.9909697,-76.938677,9.3325,4.7825,7.174167,0,0,99,42,7.1355677,-4.772361
50363007,2025-01-02 05:00:00+00:00,38.9909697,-76.938677,4.6324997,0.73249996,2.6095831,0,0,58,41,-6.4560347,-10.133556
50363007,2025-01-03 05:00:00+00:00,38.9909697,-76.938677,5.3824997,-1.2674999,0.6741665,2.6,0.77,91,53,-0.42046106,-8.647725
50363007,2025-01-04 05:00:00+00:00,38.9909697,-76.938677,-0.4675,-4.3675003,-1.7175001,0,0,58,42,-8.620337,-13.491243
50363007,2025-01-05 05:00:00+00:00,38.9909697,-76.938677,0.98249996,-7.3675003,-2.457084,0,0,62,33,-9.747393,-14.398656
50363007,2025-01-06 05:00:00+00:00,38.9909697,-76.938677,-0.2675,-3.5175,-2.696667,20.5,10.080001,95,55,-3.1516361,-8.223662
50363007,2025-01-07 05:00:00+00:00,38.9909697,-76.938677,1.5325,-5.0675,-2.03,0,0,67,49,-7.5201845,-12.179895
50363007,2025-01-08 05:00:00+00:00,38.9909697,-76.938677,-0.4675,-5.0175004,-2.7758331,0,0,59,45,-8.8723755,-15.1298895
50363014,2025-01-01 05:00:00+00:00,38.9901618,-76.93867,9.326,4.776,7.1676674,0,0,99,42,7.1290746,-4.7783694
50363014,2025-01-02 05:00:00+00:00,38.9901618,-76.93867,4.626,0.726,2.6030836,0,0,58,41,-6.4621496,-10.139441
50363014,2025-01-03 05:00:00+00:00,38.9901618,-76.93867,5.376,-1.2739999,0.6676667,2.6,0.77,91,53,-0.42689192,-8.653819
50363014,2025-01-04 05:00:00+00:00,38.9901618,-76.93867,-0.474,-4.374,-1.7240001,0,0,58,42,-8.626454,-13.497255
50363014,2025-01-05 05:00:00+00:00,38.9901618,-76.93867,0.976,-7.374,-2.4635835,0,0,62,33,-9.753396,-14.4044075
50363014,2025-01-06 05:00:00+00:00,38.9901618,-76.93867,-0.27400002,-3.524,-2.7031667,20.5,10.080001,95,55,-3.1580913,-8.229744
50363014,2025-01-07 05:00:00+00:00,38.9901618,-76.93867,1.526,-5.074,-2.0364997,0,0,67,49,-7.526401,-12.186006
50363014,2025-01-08 05:00:00+00:00,38.9901618,-76.93867,-0.474,-5.024,-2.7823334,0,0,59,45,-8.878507,-15.135852
50467445,2025-01-01 05:00:00+00:00,38.9892866,-76.9286347,9.378,4.828,7.219667,0,0,99,42,7.181014,-4.730302
50467445,2025-01-02 05:00:00+00:00,38.9892866,-76.9286347,4.678,0.778,2.6550834,0,0,58,41,-6.4132314,-10.0923605
50467445,2025-01-03 05:00:00+00:00,38.9892866,-76.9286347,5.428,-1.222,0.7196665,2.6,0.77,91,53,-0.37544596,-8.605066
50467445,2025-01-04 05:00:00+00:00,38.9892866,-76.9286347,-0.422,-4.322,-1.6719999,0,0,58,42,-8.577509,-13.449155
50467445,2025-01-05 05:00:00+00:00,38.9892866,-76.9286347,1.028,-7.322,-2.4115832,0,0,62,33,-9.7053585,-14.358382
50467445,2025-01-06 05:00:00+00:00,38.9892866,-76.9286347,-0.222,-3.472,-2.6511667,20.5,10.080001,95,55,-3.106451,-8.181097
50467445,2025-01-07 05:00:00+00:00,38.9892866,-76.9286347,1.578,-5.022,-1.9845003,0,0,67,49,-7.4766655,-12.137109
