node_id,date,edge_list,latitude,longitude,temperature_max,temperature_min,temperature_mean,precipitation_sum,snowfall_sum,relative_humidity_max,relative_humidity_min,dewpoint_max,dewpoint_min
93,2025-01-08 05:00:00+00:00,"[0, 43, 45, 117, 94]",42.98090031,-78.8752702,-6.763,-10.212999,-8.0025835,0,0,70,53,-12.108837,-16.109306
99,2025-01-01 05:00:00+00:00,"[0, 16, 6]",43.01988161,-78.88250189,5.3564997,0.1065,2.344,2.6000001,0.28,95,70,4.421045,-3.3161304
99,2025-01-02 05:00:00+00:00,"[0, 16, 6]",43.01988161,-78.88250189,0.4565,-2.8935,-0.71849996,0.6,0.21000001,87,57,-2.0465598,-8.95688
99,2025-01-03 05:00:00+00:00,"[0, 16, 6]",43.01988161,-78.88250189,-0.6935,-3.4935,-2.3351665,0,0,76,55,-5.3493385,-9.384462
99,2025-01-04 05:00:00+00:00,"[0, 16, 6]",43.01988161,-78.88250189,-2.9435,-5.8935003,-4.5685,0,0,72,57,-8.007585,-12.768587
99,2025-01-05 05:00:00+00:00,"[0, 16, 6]",43.01988161,-78.88250189,-2.4435,-6.7435,-4.7059994,0,0,75,58,-8.360285,-12.812916
99,2025-01-06 05:00:00+00:00,"[0, 16, 6]",43.01988161,-78.88250189,-4.0935,-8.9435,-6.5851665,0.2,0.14,89,72,-6.0315914,-12.927281
99,2025-01-07 05:00:00+00:00,"[0, 16, 6]",43.01988161,-78.88250189,-4.2935004,-8.143499,-6.5018334,0.3,0.21000001,79,59,-7.846384,-13.194282
99,2025-01-08 05:00:00+00:00,"[0, 16, 6]",43.01988161,-78.88250189,-6.6435003,-10.0435,-8.091416,0,0,72,56,-11.817608,-15.206526
5,2025-01-01 05:00:00+00:00,"[0, 6, 43, 90, 91]",42.98137476,-78.91279784,5.2935004,0.0935,2.2643332,3,0.28,96,72,4.5572343,-2.7270474
5,2025-01-02 05:00:00+00:00,"[0, 6, 43, 90, 91]",42.98137476,-78.91279784,0.3435,-3.0065,-0.71274996,0.2,0.07,88,59,-1.8057548,-8.084103
5,2025-01-03 05:00:00+00:00,"[0, 6, 43, 90, 91]",42.98137476,-78.91279784,-0.8565,-4.0065,-2.4815001,0.2,0.14,79,58,-5.5555954,-9.386328
5,2025-01-04 05:00:00+00:00,"[0, 6, 43, 90, 91]",42.98137476,-78.91279784,-2.9565,-6.0065,-4.898166,0,0,75,56,-8.035279,-12.999677
5,2025-01-05 05:00:00+00:00,"[0, 6, 43, 90, 91]",42.98137476,-78.91279784,-2.2065,-7.0065,-4.941916,0,0,73,57,-9.402607,-13.177854
5,2025-01-06 05:00:00+00:00,"[0, 6, 43, 90, 91]",42.98137476,-78.91279784,-4.1064997,-8.7065,-6.3898335,0,0,86,68,-6.4440036,-12.936358
5,2025-01-07 05:00:00+00:00,"[0, 6, 43, 90, 91]",42.98137476,-78.91279784,-4.0565,-7.5065,-6.2356668,0.6,0.35,80,56,-8.511302,-13.837587
5,2025-01-08 05:00:00+00:00,"[0, 6, 43, 90, 91]",42.98137476,-78.91279784,-6.5565,-9.8065,-7.8877506,0,0,71,52,-11.774193,-16.11801
2,2025-01-01 05:00:00+00:00,"[1, 7, 8, 138, 13, 84]",43.00304563,-78.82019977,5.363,0.063,2.3817499,2.5,0.07,95,68,4.1236887,-3.4204412
2,2025-01-02 05:00:00+00:00,"[1, 7, 8, 138, 13, 84]",43.00304563,-78.82019977,0.663,-2.937,-0.71825,0.6,0.35,87,56,-2.089381,-8.950704
2,2025-01-03 05:00:00+00:00,"[1, 7, 8, 138, 13, 84]",43.00304563,-78.82019977,-0.63699996,-3.487,-2.3328333,0.1,0.07,75,52,-5.3914604,-9.612505
2,2025-01-04 05:00:00+00:00,"[1, 7, 8, 138, 13, 84]",43.00304563,-78.82019977,-2.887,-5.787,-4.5119996,0,0,71,57,-8.374115,-12.523564
2,2025-01-05 05:00:00+00:00,"[1, 7, 8, 138, 13, 84]",43.00304563,-78.82019977,-2.387,-6.737,-4.6536665,0,0,75,55,-8.566316,-13.018121
2,2025-01-06 05:00:00+00:00,"[1, 7, 8, 138, 13, 84]",43.00304563,-78.82019977,-4.037,-9.237,-6.5786667,0.2,0.14,88,73,-6.123971,-12.851432
2,2025-01-07 05:00:00+00:00,"[1, 7, 8, 138, 13, 84]",43.00304563,-78.82019977,-4.487,-8.237,-6.7536674,0.2,0.14,78,60,-8.200886,-13.188112
2,2025-01-08 05:00:00+00:00,"[1, 7, 8, 138, 13, 84]",43.00304563,-78.82019977,-7.037,-10.187,-8.2682495,0,0,75,57,-12.37114,-15.148144
41,2025-01-01 05:00:00+00:00,"[1, 52]",43.00994355,-78.86205464,5.3694997,0.0695,2.3757503,2.4,0.14,95,70,4.2827654,-3.2067406
41,2025-01-02 05:00:00+00:00,"[1, 52]",43.00994355,-78.86205464,0.6695,-2.9305,-0.7221667,0.70000005,0.35,88,57,-1.9279765,-8.790472
41,2025-01-03 05:00:00+00:00,"[1, 52]",43.00994355,-78.86205464,-0.5805,-3.4805,-2.3742502,0.1,0.07,77,54,-5.0862193,-9.218761
41,2025-01-04 05:00:00+00:00,"[1, 52]",43.00994355,-78.86205464,-2.9305,-5.7805004,-4.5367503,0,0,73,58,-8.106746,-12.352408
41,2025-01-05 05:00:00+00:00,"[1, 52]",43.00994355,-78.86205464,-2.4805,-6.8805003,-4.738834,0,0,76,59,-8.154346,-12.639752
41,2025-01-06 05:00:00+00:00,"[1, 52]",43.00994355,-78.86205464,-3.9305,-9.2305,-6.5804996,0.3,0.21000001,90,73,-5.8706875,-12.84073
41,2025-01-07 05:00:00+00:00,"[1, 52]",43.00994355,-78.86205464,-4.4305,-8.1805,-6.5867496,0.4,0.28,80,61,-7.5550838,-12.936869
41,2025-01-08 05:00:00+00:00,"[1, 52]",43.00994355,-78.86205464,-6.8805003,-10.1805,-8.1805,0,0,73,59,-11.805064,-14.96215
8,2025-01-01 05:00:00+00:00,"[32, 96, 2, 3, 33, 7, 138, 107, 76, 78, 86, 123, 61]",42.99742587,-78.79246201,5.3435,0.0435,2.36225,2.5,0.07,95,68,4.104351,-3.4391086
8,2025-01-02 05:00:00+00:00,"[32, 96, 2, 3, 33, 7, 138, 107, 76, 78, 86, 123, 61]",42.99742587,-78.79246201,0.6435,-2.9565,-0.73775005,0.6,0.35,87,56,-2.1085768,-8.969233
8,2025-01-03 05:00:00+00:00,"[32, 96, 2, 3, 33, 7, 138, 107, 76, 78, 86, 123, 61]",42.99742587,-78.79246201,-0.6565,-3.5065,-2.3523335,0.1,0.07,75,52,-5.410343,-9.63064
8,2025-01-04 05:00:00+00:00,"[32, 96, 2, 3, 33, 7, 138, 107, 76, 78, 86, 123, 61]",42.99742587,-78.79246201,-2.9065,-5.8065,-4.5315,0,0,71,57,-8.39289,-12.541972
8,2025-01-05 05:00:00+00:00,"[32, 96, 2, 3, 33, 7, 138, 107, 76, 78, 86, 123, 61]",42.99742587,-78.79246201,-2.4065,-6.7565,-4.6731668,0,0,75,55,-8.585178,-13.036498
8,2025-01-06 05:00:00+00:00,"[32, 96, 2, 3, 33, 7, 138, 107, 76, 78, 86, 123, 61]",42.99742587,-78.79246201,-4.0565,-9.2565,-6.5981674,0.2,0.14,88,73,-6.1431956,-12.870331
8,2025-01-07 05:00:00+00:00,"[32, 96, 2, 3, 33, 7, 138, 107, 76, 78, 86, 123, 61]",42.99742587,-78.79246201,-4.5065,-8.2565,-6.773167,0.2,0.14,78,60,-8.2198305,-13.206624
8,2025-01-08 05:00:00+00:00,"[32, 96, 2, 3, 33, 7, 138, 107, 76, 78, 86, 123, 61]",42.99742587,-78.79246201,-7.0565,-10.2065,-8.287749,0,0,75,57,-12.389808,-15.166822
138,2025-01-01 05:00:00+00:00,"[8, 2]",42.9927647,-78.802047,5.3694997,0.119500004,2.36325,2.5,0.21000001,97,72,4.433968,-3.0287514
138,2025-01-02 05:00:00+00:00,"[8, 2]",42.9927647,-78.802047,0.46949998,-2.8305,-0.668,0.5,0.35,88,60,-1.8786936,-8.353351
138,2025-01-03 05:00:00+00:00,"[8, 2]",42.9927647,-78.802047,-0.63049996,-3.7305,-2.2721665,0.1,0,82,54,-4.3005834,-9.196468
138,2025-01-04 05:00:00+00:00,"[8, 2]",42.9927647,-78.802047,-2.8305,-5.5805,-4.4909167,0,0,73,56,-7.961881,-12.552888
138,2025-01-05 05:00:00+00:00,"[8, 2]",42.9927647,-78.802047,-2.2805,-6.4805,-4.720083,0,0,75,56,-8.39562,-13.200472
138,2025-01-06 05:00:00+00:00,"[8, 2]",42.9927647,-78.802047,-4.7305,-8.9805,-6.7763343,0.1,0.07,89,71,-6.413338,-12.818235
138,2025-01-07 05:00:00+00:00,"[8, 2]",42.9927647,-78.802047,-4.4305,-8.1305,-6.570084,0.5,0.28,78,57,-8.097416,-13.301868
138,2025-01-08 05:00:00+00:00,"[8, 2]",42.9927647,-78.802047,-6.9805,-10.1305,-8.172166,0,0,73,55,-12.3604145,-15.267363
13,2025-01-01 05:00:00+00:00,"[2, 76, 12]",43.036057,-78.823135,5.3564997,-0.0435,2.3585835,3,0.21000001,95,69,4.269858,-3.1777353
13,2025-01-02 05:00:00+00:00,"[2, 76, 12]",43.036057,-78.823135,0.6565,-2.9435,-0.67475003,0.5,0.35,88,57,-1.8915071,-9.208799
13,2025-01-03 05:00:00+00:00,"[2, 76, 12]",43.036057,-78.823135,-0.6435,-3.6435,-2.4476664,0.1,0.07,75,54,-5.4461718,-9.604324
13,2025-01-04 05:00:00+00:00,"[2, 76, 12]",43.036057,-78.823135,-3.0435,-5.9935,-4.520583,0,0,72,61,-8.007585,-12.102658
13,2025-01-05 05:00:00+00:00,"[2, 76, 12]",43.036057,-78.823135,-2.5435,-6.9935,-4.789334,0,0,76,61,-7.832117,-12.245028
13,2025-01-06 05:00:00+00:00,"[2, 76, 12]",43.036057,-78.823135,-3.2935,-8.6935,-6.241417,0.3,0.21000001,91,71,-5.5036736,-12.6182785
