node_id,date,latitude,longitude,temperature_max,temperature_min,temperature_mean,precipitation_sum,snowfall_sum,relative_humidity_max,relative_humidity_min,dewpoint_max,dewpoint_min
2,2025-01-05 05:00:00+00:00,47.67502042,-117.2428879,3.528,1.278,2.4529998,5.0000005,0,98,82,3.0964575,-1.4564446
2,2025-01-06 05:00:00+00:00,47.67502042,-117.2428879,3.128,0.778,1.7884165,0,0,100,81,1.3500607,-2.111712
2,2025-01-07 05:00:00+00:00,47.67502042,-117.2428879,2.028,0.37800002,1.0550832,0,0,95,80,0.16764596,-2.6212127
2,2025-01-08 05:00:00+00:00,47.67502042,-117.2428879,0.92800003,-0.17199999,0.3696667,2.4,1.19,97,86,-0.23512971,-1.2481408
9,2025-01-01 05:00:00+00:00,47.67760491,-117.2817403,1.013,-0.487,0.13591668,0.8,0.42000002,98,91,0.034017183,-1.7754099
9,2025-01-02 05:00:00+00:00,47.67760491,-117.2817403,2.613,-0.537,0.8609167,0.8,0,97,87,1.0494343,-1.3834996
9,2025-01-03 05:00:00+00:00,47.67760491,-117.2817403,3.063,0.013,1.4838332,7.3000007,0.28,97,92,1.8896662,-1.1314989
9,2025-01-04 05:00:00+00:00,47.67760491,-117.2817403,3.463,0.263,1.5254999,4.5,1.61,99,88,1.9840139,-0.19523281
9,2025-01-05 05:00:00+00:00,47.67760491,-117.2817403,3.613,1.963,2.6963332,4.7000003,0,99,95,3.070805,1.5369134
9,2025-01-06 05:00:00+00:00,47.67760491,-117.2817403,3.113,0.663,2.1109166,0,0,100,81,2.5369236,-2.2240026
9,2025-01-07 05:00:00+00:00,47.67760491,-117.2817403,1.913,0.363,1.0796667,0,0,95,81,0.30186063,-2.5169413
9,2025-01-08 05:00:00+00:00,47.67760491,-117.2817403,0.86300004,-0.187,0.30675003,2.3,1.12,97,88,-0.24153303,-1.0473118
3,2025-01-01 05:00:00+00:00,47.6740976,-117.2319357,1.1455001,-1.2544999,-0.006583352,0.90000004,0.63,98,82,0.1741522,-3.9328609
3,2025-01-02 05:00:00+00:00,47.6740976,-117.2319357,2.7455,-0.50450003,0.8934167,0.90000004,0,99,86,1.2304275,-1.3969659
3,2025-01-03 05:00:00+00:00,47.6740976,-117.2319357,3.2955,0.09550001,1.60175,7.100001,0.21000001,97,88,1.6556714,-1.2016467
3,2025-01-04 05:00:00+00:00,47.6740976,-117.2319357,3.4455001,0.3955,1.6038332,4.3999996,1.5400001,99,86,2.1199532,-0.1629216
