Accuracy,Precision,Recall,F1,PR_AUC,ROC_AUC,TN,FP,FN,TP,Model,Threshold
0.638,0.6733780760626398,0.8958333333333334,0.768837803320562,0.888925990766217,0.7468786295005807,18,146,35,301,LogisticRegression,0.1
0.624,0.6681818181818182,0.875,0.7577319587628866,0.8495331874994464,0.6680277293844366,18,146,42,294,RandomForest,0.1
0.47,0.6005665722379604,0.6309523809523809,0.6153846153846154,0.6421496950066456,0.4023029181184669,23,141,124,212,SVM,0.1
0.458,0.5936599423631124,0.6130952380952381,0.6032210834553441,0.5598588486108228,0.31277221254355403,23,141,130,206,MLP,0.1
0.612,0.6839378238341969,0.7857142857142857,0.7313019390581718,0.8248348697992242,0.626678644018583,42,122,72,264,XGBoost,0.1
