Accuracy,Precision,Recall,F1,PR_AUC,ROC_AUC,Note,TN,FP,FN,TP,Model,Area,Threshold
0.9839285714285714,0.9166666666666666,0.9565217391304348,0.9361702127659575,0.9847186535664124,0.9959857138640456,,485,6,3,66,TemporalGNN_GCN_GRU,"Little Rock, Arkansas, US",0.9
0.9625,0.7790697674418605,0.9710144927536232,0.864516129032258,0.9750604153356989,0.9950116591398802,,472,19,2,67,TemporalGNN_GCN_LSTM,"Little Rock, Arkansas, US",0.9
0.9839285714285714,0.9411764705882353,0.927536231884058,0.9343065693430657,0.9773715300410298,0.9950706927595265,,487,4,5,64,TemporalGNN_SAGE_GRU,"Little Rock, Arkansas, US",0.89
0.8714285714285714,0.48854961832061067,0.927536231884058,0.64,0.9224174753027525,0.9722541987661973,,424,67,5,64,TemporalGNN_SAGE_LSTM,"Little Rock, Arkansas, US",0.49
0.9607142857142857,0.7901234567901234,0.927536231884058,0.8533333333333334,0.9406235087681659,0.9897281501815284,,474,17,5,64,TemporalGNN_GAT_GRU,"Little Rock, Arkansas, US",0.52
0.9375,1.0,0.4927536231884058,0.6601941747572816,0.9606581353667873,0.9935358186487204,,491,0,35,34,TemporalGNN_GAT_LSTM,"Little Rock, Arkansas, US",0.51
0.8388888888888889,0.573170731707317,0.6714285714285714,0.618421052631579,0.6214546173824852,0.886551724137931,,255,35,23,47,StaticGNN_ablation,"Little Rock, Arkansas, US",0.77
