mode,graph_id,instance_id,repeat,seed,runtime_s,obj,global_prob,prob_min,beta,pct_uncovered,n_scratch_builds,n_exact_hits,n_memory_hits,n_repaired,n_rejected,n_candidates_eval,memory_hit_rate
intelligent_memory,3,0,0,42,8.596520900726318,13.864234243600922,14.465461237465952,7.418421357628284,294.0,43.58974358974359,145,8,68,11,1,1762,0.375
exact_cache,3,0,4,40042,10.863973379135132,14.598851691284548,15.198033695374527,8.108312544396833,293.0,43.58974358974359,332,20,0,0,0,0,0.056818181818181816
baseline,3,0,4,40042,11.147539377212524,14.598851691284548,15.198033695374527,8.108312544396833,293.0,43.58974358974359,352,0,0,0,0,0,0.0
intelligent_memory,3,0,1,10042,11.104519367218018,14.72955436529259,15.334871338707723,7.755537367636556,296.0,38.46153846153846,229,18,14,25,0,2100,0.1993006993006993
baseline,3,0,3,30042,11.86451506614685,14.825503883997914,15.4369558267382,8.108414660048513,299.0,38.46153846153846,350,0,0,0,0,0,0.0
intelligent_memory,3,0,3,30042,11.537060499191284,15.218211817746562,15.819438811611592,7.714611398870829,294.0,35.8974358974359,279,18,17,32,0,2594,0.1936416184971098
exact_cache,3,0,3,30042,12.186805486679077,14.825503883997914,15.4369558267382,8.108414660048513,299.0,38.46153846153846,334,16,0,0,0,0,0.045714285714285714
intelligent_memory,3,0,4,40042,11.65061068534851,15.669474129603978,16.282971062119316,7.684659085703906,300.0,35.8974358974359,358,36,30,30,0,3314,0.21145374449339208
baseline,3,0,0,42,13.370189666748047,15.33089916637313,15.925991190913008,7.416930834562714,291.0,38.46153846153846,398,0,0,0,0,0,0.0
exact_cache,3,0,0,42,13.506990432739258,15.33089916637313,15.925991190913008,7.416930834562714,291.0,38.46153846153846,358,40,0,0,0,0,0.10050251256281408
baseline,3,0,1,10042,14.178674936294556,15.450834013636499,16.045926038176376,8.791343818854157,291.0,35.8974358974359,558,0,0,0,0,0,0.0
exact_cache,3,0,1,10042,14.179207801818848,15.450834013636499,16.045926038176376,8.791343818854157,291.0,35.8974358974359,496,62,0,0,0,0,0.1111111111111111
baseline,3,0,2,20042,14.494653224945068,16.057535591191733,16.65262761573161,7.978898948722173,291.0,35.8974358974359,558,0,0,0,0,0,0.0
exact_cache,3,0,2,20042,14.418073892593384,16.057535591191733,16.65262761573161,7.978898948722173,291.0,35.8974358974359,532,26,0,0,0,0,0.04659498207885305
intelligent_memory,3,0,2,20042,15.863050699234009,15.95773601096584,16.563052984380974,8.03189048343504,296.0,35.8974358974359,616,54,1,67,14,5430,0.16531165311653118
