mode,graph_id,instance_id,repeat,seed,runtime_s,obj,global_prob,prob_min,beta,pct_uncovered,n_scratch_builds,n_exact_hits,n_memory_hits,n_repaired,n_rejected,n_candidates_eval,memory_hit_rate
intelligent_memory,1,0,4,40042,0.2811775207519531,6.298880403676139,6.987677084174065,2.799380766875168,166.0,25.0,17,44,169,18,0,1326,0.9314516129032258
intelligent_memory,1,0,2,20042,0.386643648147583,6.151520204095596,6.844466262186883,3.7615454811693905,167.0,35.0,25,20,158,9,0,1097,0.8820754716981132
intelligent_memory,1,0,1,10042,0.4638943672180176,6.1593424751509955,6.848139155648921,4.293755397979717,166.0,30.0,18,60,159,9,16,1279,0.926829268292683
baseline,1,0,2,20042,1.1869447231292725,6.360920242860819,7.058015678545466,3.5446598724439835,168.0,30.0,342,0,0,0,0,0,0.0
intelligent_memory,1,0,3,30042,1.0505011081695557,6.294731026082778,6.987677084174065,4.128878544374927,167.0,25.0,55,46,246,59,8,2526,0.8645320197044335
exact_cache,1,0,2,20042,1.2352991104125977,6.360920242860819,7.058015678545466,3.5446598724439835,168.0,30.0,314,28,0,0,0,0,0.08187134502923976
intelligent_memory,1,0,0,42,1.2263548374176025,6.350446857448909,7.0433929155401955,3.685442816153584,167.0,25.0,45,64,305,38,1,2506,0.9004424778761062
baseline,1,0,4,40042,1.3814547061920166,6.452008453083594,7.1449545111748805,3.494636664367017,167.0,25.0,400,0,0,0,0,0,0.0
baseline,1,0,0,42,1.4830305576324463,6.353076617705343,7.004528899863019,2.631425065943525,157.0,25.0,506,0,0,0,0,0,0.0
exact_cache,1,0,4,40042,1.3848304748535156,6.452008453083594,7.1449545111748805,3.494636664367017,167.0,25.0,320,80,0,0,0,0,0.2
exact_cache,1,0,0,42,1.4200963973999023,6.353076617705343,7.004528899863019,2.631425065943525,157.0,25.0,368,138,0,0,0,0,0.2727272727272727
baseline,1,0,3,30042,1.576977252960205,6.385816508420983,7.058015678545464,4.084397319160512,162.0,30.0,418,0,0,0,0,0,0.0
exact_cache,1,0,3,30042,1.5315392017364502,6.385816508420983,7.058015678545464,4.084397319160512,162.0,30.0,386,32,0,0,0,0,0.07655502392344497
exact_cache,1,0,1,10042,2.229473114013672,6.414015297107393,7.0862144672318745,3.721583540361204,162.0,25.0,570,48,0,0,0,0,0.07766990291262135
baseline,1,0,1,10042,2.3565449714660645,6.414015297107393,7.0862144672318745,3.721583540361204,162.0,25.0,618,0,0,0,0,0,0.0
