mode,graph_id,instance_id,repeat,seed,runtime_s,obj,global_prob,prob_min,beta,pct_uncovered,n_scratch_builds,n_exact_hits,n_memory_hits,n_repaired,n_rejected,n_candidates_eval,memory_hit_rate
intelligent_memory,4,0,0,42,2.6442668437957764,11.41577591327561,12.012267141345784,5.545853615530532,170.0,33.333333333333336,32,2,139,63,45,1503,0.864406779661017
intelligent_memory,4,0,3,30042,2.6913342475891113,11.170075008186503,11.780601323975976,8.081632137681432,174.0,29.62962962962963,47,24,168,61,1,1264,0.8433333333333334
intelligent_memory,4,0,4,40042,2.765350103378296,11.101384766779903,11.697875994850078,7.2505801781136725,170.0,29.62962962962963,5,8,283,48,3,1569,0.9854651162790697
baseline,4,0,2,20042,3.476945638656616,11.32898671665389,11.939513032443363,6.272005228855873,174.0,25.925925925925927,214,0,0,0,0,0,0.0
baseline,4,0,1,10042,3.598417043685913,11.739802640419523,12.350328956208996,5.580794130369124,174.0,25.925925925925927,258,0,0,0,0,0,0.0
exact_cache,4,0,2,20042,3.5558624267578125,11.32898671665389,11.939513032443363,6.272005228855873,174.0,25.925925925925927,212,2,0,0,0,0,0.009345794392523364
intelligent_memory,4,0,1,10042,3.3216681480407715,11.763226077169945,12.36673484909977,5.796517002109168,172.0,29.62962962962963,11,0,188,43,2,1063,0.9545454545454546
exact_cache,4,0,1,10042,3.6406261920928955,11.739802640419523,12.350328956208996,5.580794130369124,174.0,25.925925925925927,252,6,0,0,0,0,0.023255813953488372
intelligent_memory,4,0,2,20042,3.8030717372894287,11.361169859738922,11.961169859738922,5.112074096652746,171.0,29.62962962962963,99,90,225,34,10,1846,0.7790178571428571
baseline,4,0,3,30042,4.502336502075195,11.784748482758843,12.384748482758843,6.551153480659424,171.0,25.925925925925927,350,0,0,0,0,0,0.0
exact_cache,4,0,3,30042,4.382365942001343,11.784748482758843,12.384748482758843,6.551153480659424,171.0,25.925925925925927,332,18,0,0,0,0,0.05142857142857143
baseline,4,0,4,40042,4.529008626937866,11.432027209627575,12.032027209627575,4.942570788471088,171.0,25.925925925925927,320,0,0,0,0,0,0.0
exact_cache,4,0,4,40042,4.513151168823242,11.432027209627575,12.032027209627575,4.942570788471088,171.0,25.925925925925927,318,2,0,0,0,0,0.00625
baseline,4,0,0,42,5.519943714141846,12.106310619288315,12.706310619288315,6.157776993879067,171.0,29.62962962962963,708,0,0,0,0,0,0.0
exact_cache,4,0,0,42,5.4066994190216064,12.106310619288315,12.706310619288315,6.157776993879067,171.0,29.62962962962963,582,126,0,0,0,0,0.17796610169491525
