mode,graph_id,instance_id,repeat,seed,runtime_s,obj,global_prob,prob_min,beta,pct_uncovered,n_scratch_builds,n_exact_hits,n_memory_hits,n_repaired,n_rejected,n_candidates_eval,memory_hit_rate
intelligent_memory,2,0,1,10042,3.7685091495513916,14.932021836519432,15.768021836519432,7.908751674872911,418.0,27.77777777777778,122,2,57,31,0,1656,0.42452830188679247
exact_cache,2,0,4,40042,4.0943756103515625,15.6827611384123,16.5107611384123,8.986348875113428,414.0,25.0,218,2,0,0,0,0,0.00909090909090909
baseline,2,0,4,40042,4.171272039413452,15.6827611384123,16.5107611384123,8.986348875113428,414.0,25.0,220,0,0,0,0,0,0.0
intelligent_memory,2,0,4,40042,4.061432361602783,16.0218665442988,16.851866544298797,8.765089526822008,415.0,27.77777777777778,150,0,57,17,0,1767,0.33035714285714285
intelligent_memory,2,0,2,20042,4.962634563446045,15.946210256251854,16.762210256251855,7.827469337965183,408.0,27.77777777777778,242,0,31,17,218,2296,0.16551724137931034
baseline,2,0,2,20042,5.106849431991577,15.769486287272061,16.59348628727206,8.549714330318956,412.0,30.555555555555557,212,0,0,0,0,0,0.0
exact_cache,2,0,2,20042,5.146102428436279,15.769486287272061,16.59348628727206,8.549714330318956,412.0,30.555555555555557,208,4,0,0,0,0,0.018867924528301886
intelligent_memory,2,0,0,42,7.083450555801392,16.35013939678483,17.18813939678483,9.350605823408099,419.0,22.22222222222222,378,52,20,16,0,3288,0.1888412017167382
baseline,2,0,0,42,8.29706072807312,16.369553780166665,17.189553780166666,8.120394617841965,410.0,25.0,716,0,0,0,0,0,0.0
exact_cache,2,0,0,42,8.315456867218018,16.369553780166665,17.189553780166666,8.120394617841965,410.0,25.0,588,128,0,0,0,0,0.1787709497206704
baseline,2,0,3,30042,8.83445954322815,17.009902149952058,17.839902149952056,8.755570761568633,415.0,22.22222222222222,610,0,0,0,0,0,0.0
exact_cache,2,0,3,30042,9.213648080825806,17.009902149952058,17.839902149952056,8.755570761568633,415.0,22.22222222222222,562,48,0,0,0,0,0.07868852459016394
baseline,2,0,1,10042,9.835786819458008,15.970500450977843,16.808500450977842,9.60223629204378,419.0,27.77777777777778,616,0,0,0,0,0,0.0
exact_cache,2,0,1,10042,9.74596118927002,15.970500450977843,16.808500450977842,9.60223629204378,419.0,27.77777777777778,490,126,0,0,0,0,0.20454545454545456
intelligent_memory,2,0,3,30042,10.572959899902344,16.336177049542556,17.158177049542555,7.984729418315861,411.0,22.22222222222222,570,62,4,8,0,4632,0.11490683229813664
