graph_id,mode,period,obj_mean,obj_std,time_s_mean,time_s_std,unique_edges_covered_mean,unique_edges_covered_std,%_covered_mean,%_covered_std
1,baseline,0,5.0377753,0.3133412483223896,2.5065999999999997,0.781181327648496,8.7,0.48304589153964794,53.193,3.308249117316019
1,baseline,1,4.962408,0.0,1.8029,0.31805116639378084,8.0,0.0,57.82000000000001,0.0
1,baseline,2,4.819221799999999,0.31516134189078476,2.5682,0.8386818758557317,8.8,0.42163702135578407,58.287,3.810902634401576
1,baseline,3,4.8615032,0.34589691903956976,3.4209000000000005,0.7931826817742976,7.6,0.5163977794943223,53.15,3.781181473208252
1,exact_cache,0,5.250963400000001,0.020020976040143534,2.473,0.7244874049974921,9.0,0.0,55.440999999999995,0.2089896329167222
1,exact_cache,1,4.972783099999999,0.020146094743977837,2.2360999999999995,0.6465765315189774,8.5,0.5270462766947299,57.939,0.23335476092088472
1,exact_cache,2,4.924652,0.23746491633502412,2.3518999999999997,0.7713999467058432,8.9,0.3162277660168377,59.562,2.8713481154328866
1,exact_cache,3,5.009480999999999,0.26984162210699303,2.4908,0.643733174537401,7.8,0.6324555320336759,54.766999999999996,2.9512296872094965
1,intelligent_memory,0,5.2575513,0.003455799314196313,2.6146000000000003,1.3686924985384976,9.0,0.0,55.510000000000005,0.03496029493900439
1,intelligent_memory,1,4.968828,0.013534548385520543,1.9872,0.6069616132837395,8.2,0.42163702135578396,57.894000000000005,0.15600569790163618
1,intelligent_memory,2,4.9694078,0.09593464983206007,2.2588,0.7533663414597472,9.0,0.0,60.102999999999994,1.1605559012817956
1,intelligent_memory,3,5.1349393,0.1326670086227167,2.6959,0.7630592593850973,8.3,0.4830458915396481,56.138999999999996,1.4518069201286146
